1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
ШтрихКод;ЛокальныйКод;Внешний код;Наименование;Полное наименование;ЕдиницаИзмерения;Группа;Группа2;Группа3;Группа4;Группа5;НДС;ЦенаПродажи;Страна;Поставщик;ЦенаЗакупки;Остаток;Производитель;ИНН Производителя;КПП Производителя;Импортер;ИНН Импортера;КПП Ипортера;Табак;Алкоголь;Крепость;Объем;АлкоКод;Вид алкогольной продукции
46158314;9803;0f841afc-6554-11e4-8737-0025222dc009;Л.М red;Л.М red;шт;Сигареты;;;;;;120;;;;3;;;;;;;;;;;;;
46164094;9803;0f841afc-6554-11e4-8737-0025222dc009;Л.М red;Л.М red;шт;Сигареты;;;;;;120;;;;3;;;;;;;;;;;;;
46164100;9803;0f841afc-6554-11e4-8737-0025222dc009;Л.М red;Л.М red;шт;Сигареты;;;;;;120;;;;3;;;;;;;;;;;;;
46170057;9803;0f841afc-6554-11e4-8737-0025222dc009;Л.М red;Л.М red;шт;Сигареты;;;;;;120;;;;3;;;;;;;;;;;;;
46170064;9803;0f841afc-6554-11e4-8737-0025222dc009;Л.М red;Л.М red;шт;Сигареты;;;;;;120;;;;3;;;;;;;;;;;;;
46182005;9803;0f841afc-6554-11e4-8737-0025222dc009;Л.М red;Л.М red;шт;Сигареты;;;;;;120;;;;3;;;;;;;;;;;;;
46182012;9803;0f841afc-6554-11e4-8737-0025222dc009;Л.М red;Л.М red;шт;Сигареты;;;;;;120;;;;3;;;;;;;;;;;;;
46188670;9803;0f841afc-6554-11e4-8737-0025222dc009;Л.М red;Л.М red;шт;Сигареты;;;;;;120;;;;3;;;;;;;;;;;;;
7622210682796;1542;32f36ed3-658e-11e5-8781-001e8c783f4c;Чипсы Эстрелла  в ассортименте 60  г;Чипсы Эстрелла  в ассортименте 60  г;шт;Чипсы;Снеки, сухие завтраки;;;;;48;;;;3;;;;;;;;;;;;;
7622210682802;1542;32f36ed3-658e-11e5-8781-001e8c783f4c;Чипсы Эстрелла  в ассортименте 60  г;Чипсы Эстрелла  в ассортименте 60  г;шт;Чипсы;Снеки, сухие завтраки;;;;;48;;;;3;;;;;;;;;;;;;
7622210682826;1542;32f36ed3-658e-11e5-8781-001e8c783f4c;Чипсы Эстрелла  в ассортименте 60  г;Чипсы Эстрелла  в ассортименте 60  г;шт;Чипсы;Снеки, сухие завтраки;;;;;48;;;;3;;;;;;;;;;;;;
7622210699084;1542;32f36ed3-658e-11e5-8781-001e8c783f4c;Чипсы Эстрелла  в ассортименте 60  г;Чипсы Эстрелла  в ассортименте 60  г;шт;Чипсы;Снеки, сухие завтраки;;;;;48;;;;3;;;;;;;;;;;;;
